"item","Frequency"
"i m looking for",70
"in the near future",70
"in the next few",70
"is supposed to be",70
"it s not like",70
"of one of the",70
"that doesn t mean",70
"that you don t",70
"to see you there",70
"we would like to",70
"would like to see",70
"and i want to",69
"and you don t",69
"as long as i",69
"awkward moment when you",69
"doesn t have a",69
"doesn t have to",69
"i m a little",69
"i m ready for",69
"make it to the",69
"open to the public",69
"thank you to everyone",69
"that s what we",69
"the last few years",69
"to keep up with",69
"to the united states",69
"we would love to",69
"when i was in",69
"you ve got a",69
"can t wait till",68
"fell in love with",68
"great to meet you",68
"hundreds of thousands of",68
"i can t do",68
"i can t say",68
"i guess i m",68
"i m so tired",68
"if i didn t",68
"if we don t",68
"look forward to seeing",68
"people who don t",68
"that s all i",68
"that s how i",68
"the next few days",68
"they are going to",68
"to go to bed",68
"am i the only",67
"and don t forget",67
"as a way to",67
"didn t know what",67
"don t know the",67
"get a chance to",67
"got a lot of",67
"i guess it s",67
"i need to be",67
"i think i ve",67
"in the parking lot",67
"more than a year",67
"not the only one",67
"shout out to my",67
"there is a lot",67
"this is why i",67
"wasn t going to",67
"what do you do",67
"you know you re",67
"you re having a",67
"for most of the",66
"have a chance to",66
"have been able to",66
"i m sure it",66
"i wouldn t be",66
"it was one of",66
"please let me know",66
"s been a while",66
"s day to all",66
"the last day of",66
"think i m going",66
"to go to sleep",66
"told the associated press",66
"when you have a",66
"wish i had a",66
"with the rest of",66
"you don t get",66
"10 a m to",65
"do not want to",65
"hope you re having",65
"is not going to",65
"it was going to",65
"let me tell you",65
"middle of the night",65
"of some of the",65
"one of the top",65
"t know what i",65
"that it would be",65
"that there is a",65
"the past few years",65
"there s no way",65
"to learn more about",65
"to share with you",65
"we need to get",65
"will be at the",65
"you re looking for",65
"a copy of the",64
"but i think i",64
"but you can t",64
"don t give a",64
"had so much fun",64
"he was going to",64
"i can t stop",64
"i had a great",64
"i have a few",64
"i m not even",64
"i still don t",64
"in the last few",64
"in the right direction",64
"isn t going to",64
"let s do it",64
"more than a decade",64
"t get me wrong",64
"tens of thousands of",64
"thanks for the rts",64
"the history of the",64
"the middle of a",64
"there is so much",64
"this is what i",64
"to check it out",64
"to let you know",64
"wait to see what",64
"will be in the",64
"8 30 p m",63
"and i have been",63
"but it doesn t",63
"doesn t seem to",63
"don t think you",63
"i have to do",63
"i m so sorry",63
"i m sorry i",63
"i ve got to",63
"in a couple of",63
"it s about time",63
"just in time for",63
"on the verge of",63
"one of the biggest",63
"so that i can",63
"the head of the",63
"the state department of",63
"the u s government",63
"there are plenty of",63
"to go to school",63
"u s district judge",63
"when i get home",63
"at 10 a m",62
"at the age of",62
"by the u s",62
"didn t get to",62
"didn t have the",62
"don t know where",62
"don t think we",62
"for all of the",62
"for the heads up",62
"have no idea how",62
"i felt like i",62
"i know i know",62
"i love you 3",62
"i m in love",62
"know what i m",62
"s gonna be a",62
"the majority of the",62
"there is no way",62
"to be the best",62
"to go to a",62
"to say the least",62
"to the point where",62
"to the top of",62
"was a lot of",62
"would have to be",62
"a whole lot of",61
"and i had a",61
"and i will be",61
"are going to have",61
"as far as i",61
"be able to do",61
"be reached for comment",61
"both sides of the",61
"cant wait to see",61
"have to do is",61
"have to worry about",61
"i can t sleep",61
"if you didn t",61
"in the second quarter",61
"in washington d c",61
"not being able to",61
"one of my favorites",61
"one of the many",61
"one of those days",61
"over and over again",61
"the course of the",61
"the world s largest",61
"we were able to",61
"a few months ago",60
"a little bit more",60
"at the very least",60
"by the time i",60
"going to be in",60
"how have you been",60
"i ll see you",60
"i want to get",60
"if you are interested",60
"if you want a",60
"is the first time",60
"it is going to",60
"it is time to",60
"not a fan of",60
"see you at the",60
"the heart of the",60
"they don t want",60
"to give it a",60
"to see you at",60
"to take advantage of",60
"us know if you",60
"with some of the",60
"would have been a",60
"you are looking for",60
"4 30 p m",59
"a good way to",59
"all i can say",59
"amp amp amp gt",59
"and there s a",59
"be part of the",59
"but at the same",59
"don t think so",59
"for more information call",59
"happy birthday to my",59
"hour and a half",59
"i can t remember",59
"i can tell you",59
"i know what you",59
"i m a big",59
"i m on a",59
"i think i might",59
"of millions of dollars",59
"stuck in my head",59
"t want to go",59
"thanks for following us",59
"that s not a",59
"that s not the",59
"they don t know",59
"to play in the",59
"two and a half",59
"when you don t",59
"you want to see",59
"and i couldn t",58
"and i m so",58
"and i think i",58
"don t know who",58
"for some reason i",58
"getting ready for the",58
"had a great day",58
"has a lot of",58
"has nothing to do",58
"i can t imagine",58
"i just have to",58
"i m at the",58
"i m gonna be",58
"i would have to",58
"in a few weeks",58
"in the morning and",58
"it just me or",58
"it s a lot",58
"m not sure if",58
"made it to the",58
"thank you all for",58
"that it was a",58
"that you can t",58
"the most important thing",58
"the rest of your",58
"the winner of the",58
"this is not the",58
"to hear from you",58
"wait to see the",58
"we re trying to",58
"you don t even",58
"you have a good",58
"am looking forward to",57
"and now i m",57
"but it was a",57
"can t seem to",57
"can you follow me",57
"did a great job",57
"for the u s",57
"from the u s",57
"hope everyone has a",57
"i still can t",57
"i think you re",57
"i ve been doing",57
"i ve had a",57
"it s up to",57
"let me know how",57
"me know what you",57
"t wait to hear",57
"that s why we",57
"the end of a",57
"the fact that it",57
"the first round of",57
"the other day i",57
"to the end of",57
"what i want to",57
"with salt and pepper",57
"you want to do",57
"a few days ago",56
"and the fact that",56
"as much as you",56
"at 11 a m",56
"don t like to",56
"had a good time",56
"have the right to",56
"hope everyone had a",56
"i can t be",56
"i thought you were",56
"if it wasn t",56
"if there is a",56
"in the heart of",56
"in the world and",56
"it is one of",56
"just don t know",56
"let us know what",56
"m going to have",56
"more than 1 000",56
"now it s time",56
"really looking forward to",56
"so i can get",56
"so i can t",56
"thank you for sharing",56
"the number of people",56
"the st louis area",56
"to be in a",56
"to say that i",56
"we had a great",56
"we ll have to",56
"who s going to",56
"would be a good",56
"would be a great",56
"a little more than",55
"amp amp amp lt",55
"amp amp lt span",55
"are some of the",55
"background none repeat scroll",55
"don t have time",55
"he didn t know",55
"i didn t realize",55
"i hate when people",55
"i ll tell you",55
"i think we re",55
"if it doesn t",55
"if you re interested",55
"in an e mail",55
"in the bay area",55
"in the living room",55
"it s all good",55
"it s amazing how",55
"none repeat scroll 0",55
"one of the reasons",55
"repeat scroll 0 0",55
"scroll 0 0 yellow",55
"so i m not",55
"style background none repeat",55
"t have time to",55
"take the time to",55
"thank you for being",55
"that i haven t",55
"that i ve been",55
"that s the way",55
"that s what s",55
"the sheriff s office",55
"the u s attorney",55
"to all of our",55
"we were going to",55
"what i m doing",55
"what it s like",55
"why can t i",55
"why is it that",55
"you re in the",55
"you won t be",55
"a trip to the",54
"amp amp amp amp",54
"and i m sure",54
"and i think it",54
"been a while since",54
"but i have a",54
"do you think of",54
"don t know i",54
"end of the world",54
"for all of us",54
"has to do with",54
"have a great week",54
"have the opportunity to",54
"i can t tell",54
"i have ever seen",54
"i haven t had",54
"i m excited to",54
"i m not gonna",54
"i m on my",54
"i the only one",54
"i wanted to be",54
"if you are not",54
"in the long run",54
"in the world of",54
"is a good thing",54
"it s a very",54
"it wasn t a",54
"know who you are",54
"let s do this",54
"new york n y",54
"no such thing as",54
"s been a long",54
"so i decided to",54
"something to do with",54
"sure to check out",54
"t been able to",54
"thanks to all who",54
"that it s not",54
"the next few weeks",54
"this is a very",54
"thought it was a",54
"time for me to",54
"to do the same",54
"u s district court",54
"u s supreme court",54
"up and down the",54
"would love to hear",54
"0 0 yellow class",53
"9 a m to",53
"and i ll be",53
"and i love it",53
"as long as the",53
"at this point i",53
"but i have to",53
"but in the end",53
"day of the week",53
"don t do it",53
"for a few minutes",53
"i have to be",53
"i m having a",53
"i m so proud",53
"i ve been working",53
"i wanted to do",53
"i was a kid",53
"in connection with the",53
"in the bottom of",53
"it has to be",53
"it s the only",53
"no i don t",53
"now i have to",53
"on to the next",53
"one of the largest",53
"p m at the",53
"please follow me i",53
"right now i m",53
"s what i m",53
"span style background none",53
"supposed to be a",53
"thanks for the heads",53
"that s a lot",53
"that s what you",53
"there are lots of",53
"this is a good",53
"to see you on",53
"we d like to",53
"when it came to",53
"wish i could be",53
"would love to have",53
"you and your family",53
"you need to be",53
"you re not going",53
"you re very welcome",53
"11 a m to",52
"a long time ago",52
"and thank you for",52
"and that s why",52
"are looking for a",52
"but you have to",52
"d love to see",52
"every now and then",52
"fall in love with",52
"have a good one",52
"have a great time",52
"have nothing to do",52
"i love you and",52
"i m not saying",52
"i m off to",52
"i ve been in",52
"i ve been to",52
"i will have to",52
"in a large bowl",52
"in a lot of",52
"in an interview with",52
"in the same way",52
"it is important to",52
"it needs to be",52
"it s the best",52
"more than a dozen",52
"need to go to",52
"of the things i",52
"on our way to",52
"on the edge of",52
"one of the worst",52
"president barack obama s",52
"quote of the day",52
"s attorney s office",52
"so i had to",52
"that it s a",52
"those of us who",52
"time of the year",52
"to be at the",52
"to find a way",52
"to get into the",52
"want to make sure",52
"way to start the",52
"what can i say",52
"what did you think",52
"you might want to",52
"and i ve been",51
"as much as possible",51
"but it is a",51
"did not respond to",51
"did not want to",51
"don t care if",51
"dow jones industrial average",51
"for a little while",51
"going to try to",51
"i am looking forward",51
"i didn t do",51
"i hate it when",51
"i just finished a",51
"i just had to",51
"i think i can",51
"i ve been a",51
"in a good way",51
"in the hands of",51
"in the second round",51
"it was a very",51
"m not sure what",51
"not be reached for",51
"over the next few",51
"re going to get",51
"see if i can",51
"sorry to hear that",51
"t even know what",51
"the last two years",51
"the vast majority of",51
"to go to work",51
"was one of those",51
"was so much fun",51
"we are in the",51
"what you re doing",51
"will be on the",51
"you will have to",51
"5 30 p m",50
"across the street from",50
"and i wanted to",50
"as a matter of",50
"at 8 p m",50
"be able to make",50
"d love to hear",50
"don t care about",50
"don t like the",50
"don t miss out",50
"good to see you",50
"i m with you",50
"if i want to",50
"if you aren t",50
"in a news release",50
"in the city of",50
"it i don t",50
"it s not even",50
"my husband and i",50
"no one wants to",50
"on the same day",50
"out of the house",50
"over the past few",50
"said it s not",50
"so far so good",50
"that i need to",50
"that there is no",50
"that would be a",50
"the president of the",50
"this is a great",50
"to deal with the",50
"to go out and",50
"to look at the",50
"to talk to you",50
"we don t need",50
"what s wrong with",50
"you can t get",50
"you want me to",50
"10 30 a m",49
"30 a m to",49
"a few of my",49
"a great place to",49
"a wide range of",49
"and they don t",49
"are going to get",49
"are you ready for",49
"as long as they",49
"because they don t",49
"but i m still",49
"but i want to",49
"didn t get a",49
"do you know what",49
"don t care what",49
"don t like it",49
"don t miss it",49
"hey thanks for the",49
"how are you doing",49
"i am so happy",49
"i can say is",49
"i didn t like",49
"i get to see",49
"i had to do",49
"i know you re",49
"i m happy to",49
"it s not too",49
"it s such a",49
"it s supposed to",49
"it was just a",49
"ll be sure to",49
"m going to get",49
"m not sure i",49
"make the most of",49
"my wife and i",49
"not sure if i",49
"on top of that",49
"seems to be a",49
"spent a lot of",49
"thanks for your support",49
"that i had to",49
"the dow jones industrial",49
"the hell out of",49
"think it s time",49
"to make up for",49
"to pick up the",49
"to talk about the",49
"until the end of",49
"wish i could have",49
"with the exception of",49
"you want to know",49
"9 30 a m",48
"a great time at",48
"a spokeswoman for the",48
"and i haven t",48
"and thanks for the",48
"and that s a",48
"at 6 p m",48
"county sheriff s office",48
"didn t even know",48
"don t forget the",48
"don t let the",48
"for the kind words",48
"get a lot of",48
"give it a try",48
"hard for me to",48
"have a hard time",48
"he doesn t have",48
"i had a dream",48
"i know i am",48
"it is hard to",48
"it used to be",48
"it was nice to",48
"keep an eye out",48
"know if you need",48
"of the company s",48
"one of a kind",48
"really don t want",48
"t want to miss",48
"that he didn t",48
"the past few days",48
"they were going to",48
"to do with it",48
"to get back on",48
"to hang out with",48
"to see you again",48
"want to know what",48
"we didn t have",48
"what happens when you",48
"what it takes to",48
"what you want to",48
"won t have to",48
"a glass of wine",47
"and if you re",47
"and out of the",47
"at the expense of",47
"because i didn t",47
"been a long time",47
"by the way i",47
"do i have to",47
"do the right thing",47
"don t worry about",47
"for as long as",47
"forward to your tweets",47
"give us a call",47
"going to be able",47
"i ll send you",47
"i m such a",47
"i m sure that",47
"i think i am",47
"i was about to",47
"i will be in",47
"if you are in",47
"in a variety of",47
"in the first inning",47
"it s just not",47
"let s get it",47
"m so proud of",47
"more than 100 000",47
"my way to the",47
"no i m not",47
"on a regular basis",47
"on condition of anonymity",47
"rt if you love",47
"so it s not",47
"thanks to all of",47
"that i want to",47
"the last few days",47
"there would be no",47
"this is the best",47
"to come to the",47
"turns out to be",47
"what happened to the",47
"2 30 p m",46
"8 30 a m",46
"a couple of hours",46
"a good idea to",46
"and of course the",46
"as long as it",46
"as soon as possible",46
"be able to see",46
"can t afford to",46
"couldn t agree more",46
"doesn t mean you",46
"don t really know",46
"don t think they",46
"food and drug administration",46
"glad you like it",46
"have a wonderful day",46
"i can think of",46
"i didn t really",46
"i had to go",46
"i m just not",46
"i think i will",46
"i want to know",46
"i was in a",46
"in the last two",46
"in the top of",46
"it s the same",46
"it wouldn t be",46
"just let me know",46
"keep an eye on",46
"let s just say",46
"martin luther king jr",46
"now i don t",46
"once upon a time",46
"one of these days",46
"over the past two",46
"rt thanks for the",46
"s one of those",46
"side of the road",46
"so i thought i",46
"so you don t",46
"t want to get",46
"thanks for the great",46
"the day of the",46
"the national weather service",46
"the quality of the",46
"the second half of",46
"there s also a",46
"to 4 p m",46
"to get on the",46
"to make sure i",46
"was part of the",46
"we are looking for",46
"we have a lot",46
"we re looking for",46
"we went to the",46
"what do you mean",46
"when i don t",46
"you going to be",46
"a fan of the",45
"a result of the",45
"a very long time",45
"a way to get",45
"are we going to",45
"be a good day",45
"best of luck to",45
"but i m sure",45
"but there s no",45
"but they don t",45
"do a lot of",45
"do the same thing",45
"do you think the",45
"don t think the",45
"don t understand why",45
"don t you think",45
"for one of the",45
"glad you liked it",45
"going on in the",45
"had a great weekend",45
"have to deal with",45
"have to do with",45
"have to say i",45
"i don t do",45
"i guess i ll",45
"i guess that s",45
"i knew it was",45
"i ll be sure",45
"i ll give you",45
"i m just going",45
"i m kind of",45
"i ve been thinking",45
"i was looking for",45
"i will be there",45
"in love with the",45
"in the mood for",45
"in the past few",45
"is what it is",45
"it out of the",45
"it s also a",45
"it s in the",45
"mothers day to all",45
"on behalf of the",45
"on the new york",45
"on the road to",45
"other parts of the",45
"quite a bit of",45
"said it was a",45
"she and her husband",45
"that s a great",45
"the back of my",45
"the fact that they",45
"the right thing to",45
"the wall street journal",45
"those who don t",45
"thx for the follow",45
"to be the most",45
"to find out what",45
"to go on a",45
"to have a good",45
"to make it to",45
"to pay for the",45
"to see what you",45
"to see you soon",45
"to set up a",45
"to the bottom of",45
"want it to be",45
"we re excited to",45
"word of the day",45
"you are having a",45
"you don t see",45
"you have to have",45
"a bachelor s degree",44
"a friend of mine",44
"a look at the",44
"and it doesn t",44
"and it will be",44
"and that s the",44
"are you coming to",44
"at the time the",44
"believe it or not",44
"but there s a",44
"can t make it",44
"earlier in the day",44
"get in the way",44
"have to say that",44
"haven t been able",44
"i came up with",44
"i cant wait to",44
"i d have to",44
"i have to get",44
"i hope you enjoy",44
"i m just a",44
"i m proud of",44
"i might have to",44
"i think this is",44
"i used to be",44
"i was on the",44
"i wonder if i",44
"if it s not",44
"if there s a",44
"it s a big",44
"it s just that",44
"it s not as",44
"keep up the great",44
"know what it is",44
"m just going to",44
"not a lot of",44
"of the things that",44
"on a daily basis",44
"one at a time",44
"so much for your",44
"so much to do",44
"so that we can",44
"t have to worry",44
"t know why i",44
"that i have to",44
"the next couple of",44
"the only one that",44
"the power of the",44
"think it would be",44
"this is gonna be",44
"to 5 p m",44
"to be honest i",44
"to catch up on",44
"to catch up with",44
"to everyone who came",44
"want to be in",44
"we didn t get",44
"we ve had a",44
"what s the best",44
"will be the first",44
"you can t make",44
"you know i m",44
"you need to do",44
"you re the best",44
"a couple of times",43
"a huge fan of",43
"a while since i",43
"an hour and a",43
"and i had to",43
"and the u s",43
"anything to do with",43
"are you talking about",43
"at the u s",43
"attorney general s office",43
"been one of the",43
"bring to a boil",43
"but there is a",43
"but you don t",43
"don t know but",43
"don t know that",43
"don t worry i",43
"for a lot of",43
"from around the world",43
"have been trying to",43
"he and his wife",43
"he didn t have",43
"how to do it",43
"i can t see",43
"i hope you re",43
"i m the only",43
"i think we can",43
"i ve been on",43
"i want to thank",43
"in charge of the",43
"in the end it",43
"it doesn t have",43
"it is not a",43
"it s better to",43
"like a lot of",43
"m going to try",43
"now i can t",43
"on both sides of",43
"on the phone with",43
"so i didn t",43
"sounds like a good",43
"take advantage of the",43
"thanks for the tweet",43
"that s going to",43
"that they don t",43
"the best in the",43
"the best part of",43
