"w1","w2","w3","w4","rank"
"academy","motion","picture","arts",5
"afghans","will","fully","responsible",3
"ago","never","looked","back",4
"always","special","place","heart",6
"americas","next","top","model",4
"apple","ceo","tim","cook",5
"apple","fall","far","tree",5
"bad","news","good","news",5
"ben","jerrys","ice","cream",7
"best","exotic","marigold","hotel",3
"best","thing","ever","happened",9
"boys","girls","men","women",3
"building","new","york","city",3
"can","go","back","work",3
"can","go","long","way",6
"can","just","go","ahead",3
"can","lower","blood","pressure",3
"can","make","huge","difference",7
"cant","imagine","life","without",5
"cant","think","better","way",7
"cant","wait","get","back",13
"cant","wait","go","back",12
"cant","wait","one","day",3
"change","want","see","world",9
"chocolate","chip","ice","cream",3
"chris","evans","captain","america",3
"compared","time","last","year",3
"county","executive","kathleen","falk",4
"dane","county","executive","kathleen",4
"day","just","around","corner",5
"day","st","patricks","day",4
"dr","martin","luther","king",9
"end","afghans","will","fully",3
"even","remember","last","time",3
"event","will","take","place",9
"every","little","bit","helps",4
"everyone","deserves","second","chance",3
"fannie","mae","freddie","mac",15
"feel","much","better","now",4
"first","lady","michelle","obama",14
"first","time","ever","heard",3
"first","time","long","time",20
"first","time","many","years",4
"free","comic","book","day",16
"freshly","ground","black","pepper",12
"get","back","one","day",3
"getting","along","just","fine",3
"getting","back","swing","things",6
"give","credit","credit","due",6
"go","big","go","home",4
"going","away","anytime","soon",3
"going","make","much","difference",3
"good","news","bad","news",9
"ground","black","pepper","taste",8
"harry","potter","deathly","hallows",11
"high","fructose","corn","syrup",5
"hope","will","join","us",12
"junior","high","high","school",5
"junior","seau","found","dead",3
"just","cant","get","enough",7
"just","gets","better","better",5
"just","keeps","getting","better",7
"just","like","everyone","else",11
"just","like","everything","else",6
"just","want","go","back",5
"just","want","make","sure",8
"just","want","take","moment",3
"just","wanted","let","know",12
"kids","go","back","school",3
"killed","osama","bin","laden",5
"land","free","home","brave",6
"last","week","first","time",4
"last","year","first","time",5
"late","s","early","s",22
"let","people","know","can",3
"like","every","day","just",3
"like","first","day","school",3
"like","good","idea","time",4
"located","w","th","st",3
"look","forward","next","year",3
"looking","forward","getting","back",5
"looking","forward","next","year",6
"looking","forward","spending","time",9
"looking","new","members","join",3
"looks","like","will","get",3
"lower","health","care","costs",3
"luther","king","jr","day",9
"make","mom","feel","like",3
"many","many","many","years",3
"martin","luther","king","jr",52
"maybe","next","time","will",5
"maybe","one","day","will",11
"metropolitan","museum","art","new",4
"mothers","day","just","around",4
"motion","picture","arts","sciences",5
"museum","african","american","history",3
"museum","art","new","york",4
"need","help","can","get",6
"never","know","going","get",3
"never","seen","anything","like",11
"new","years","eve","celebration",5
"new","years","eve","party",9
"new","york","city","can",3
"new","york","daily","news",17
"new","york","new","jersey",21
"new","york","new","york",12
"next","food","network","star",4
"next","time","someone","asks",3
"next","week","next","month",3
"o","brother","art","thou",4
"olive","oil","sea","salt",3
"one","day","will","get",4
"one","hardest","things","ever",5
"osama","bin","laden","dead",7
"part","problem","part","solution",4
"people","need","help","need",3
"person","will","ever","meet",5
"picture","worth","thousand","words",6
"place","long","time","ago",3
"pm","doors","open","pm",6
"potter","deathly","hallows","part",9
"president","george","w","bush",26
"president","john","f","kennedy",8
"president","united","states","america",4
"pretty","much","every","day",9
"put","best","foot","forward",5
"radio","city","music","hall",10
"rain","rain","go","away",21
"real","housewives","new","jersey",10
"really","looking","forward","coming",3
"red","hot","chili","peppers",16
"rick","santorum","ron","paul",3
"right","now","right","now",4
"right","now","will","see",3
"right","place","right","time",14
"rock","roll","hall","fame",31
"salt","freshly","ground","black",7
"san","francisco","bay","area",7
"santa","claus","coming","town",3
"say","will","go","back",3
"scott","pilgrim","vs","world",4
"see","light","end","tunnel",6
"seemed","like","good","idea",7
"seems","like","good","idea",3
"senior","year","high","school",10
"snow","flower","secret","fan",4
"spring","right","around","corner",3
"st","vincent","de","paul",5
"star","trek","next","generation",6
"still","long","way","go",9
"tax","breaks","big","oil",3
"thing","since","sliced","bread",5
"things","will","get","better",11
"thoughts","go","family","friends",3
"time","next","year","will",3
"unesco","world","heritage","site",6
"us","food","drug","administration",12
"us","let","us","know",8
"us","president","barack","obama",5
"way","get","money","back",3
"way","much","time","hands",4
"well","lets","just","say",6
"white","house","correspondents","dinner",8
"whole","new","group","people",3
"will","always","special","place",5
"will","fully","responsible","security",3
"will","get","next","time",4
"will","make","feel","better",7
"will","never","go","back",6
"wrong","place","wrong","time",7
