"w1","w2","rank"
"aa","milne",7
"ab","workout",8
"abandon","ship",5
"abandoned","buildings",4
"abbey","road",5
"abc","news",23
"abercrombie","fitch",7
"ability","adapt",4
"ability","bring",6
"ability","can",6
"ability","choose",4
"ability","deal",4
"ability","fight",3
"ability","focus",4
"ability","get",19
"ability","grow",4
"ability","hide",3
"ability","learn",5
"ability","make",28
"ability","perceive",3
"ability","read",7
"ability","run",3
"ability","say",5
"ability","see",11
"ability","speak",8
"ability","stay",6
"ability","stop",4
"ability","tell",4
"ability","use",4
"ability","work",11
"able","access",10
"able","accomplish",9
"able","actually",4
"able","add",9
"able","afford",28
"able","answer",6
"able","anything",4
"able","apply",6
"able","ask",8
"able","assemble",3
"able","attend",23
"able","avoid",9
"able","back",6
"able","breathe",6
"able","bring",14
"able","burn",3
"able","buy",24
"able","call",13
"able","capture",7
"able","catch",12
"able","change",8
"able","check",5
"able","choose",5
"able","close",4
"able","contribute",4
"able","control",10
"able","cook",3
"able","create",7
"able","cut",7
"able","deal",4
"able","determine",11
"able","drive",12
"able","eat",13
"able","enjoy",20
"able","escape",5
"able","everything",5
"able","explain",6
"able","express",6
"able","feel",7
"able","fight",6
"able","figure",7
"able","find",65
"able","finish",11
"able","fix",6
"able","focus",6
"able","follow",10
"able","get",230
"able","give",16
"able","go",70
"able","grab",5
"able","grow",10
"able","handle",15
"able","hang",6
"able","hear",10
"able","help",31
"able","hire",4
"able","hit",7
"able","hold",12
"able","identify",5
"able","join",8
"able","jump",4
"able","just",8
"able","keep",34
"able","last",3
"able","least",3
"able","lift",4
"able","link",3
"able","listen",6
"able","live",13
"able","maintain",6
"able","make",103
"able","meet",18
"able","move",12
"able","offer",12
"able","open",3
"able","order",4
"able","overcome",4
"able","participate",12
"able","pass",8
"able","pick",10
"able","play",38
"able","post",12
"able","practice",6
"able","provide",25
"able","pull",8
"able","purchase",10
"able","put",30
"able","reach",16
"able","read",19
"able","recognize",7
"able","relate",6
"able","relax",6
"able","remember",5
"able","repay",3
"able","restore",3
"able","return",12
"able","roll",3
"able","run",20
"able","save",10
"able","say",34
"able","see",94
"able","serve",7
"able","set",7
"able","share",17
"able","shoot",4
"able","show",10
"able","sit",11
"able","sleep",26
"able","speak",9
"able","squeeze",6
"able","stand",10
"able","start",13
"able","stay",13
"able","stop",16
"able","support",9
"able","sustain",5
"able","take",57
"able","talk",16
"able","tell",30
"able","understand",8
"able","update",4
"able","use",34
"able","view",9
"able","visit",12
"able","walk",19
"able","watch",24
"able","wear",9
"able","win",15
"able","work",34
"able","write",10
"abraham","lincoln",42
"abraham","lincolns",7
"abroad","program",3
"absence","will",6
"absolute","best",13
"absolute","blast",6
"absolute","certainty",4
"absolute","truth",4
"absolute","worst",8
"absolutely","beautiful",18
"absolutely","brilliant",6
"absolutely","critical",3
"absolutely","everything",9
"absolutely","fabulous",9
"absolutely","fantastic",9
"absolutely","good",4
"absolutely","gorgeous",16
"absolutely","great",11
"absolutely","huge",3
"absolutely","love",82
"absolutely","necessary",11
"absolutely","need",6
"absolutely","nothing",46
"absolutely","one",9
"absolutely","outstanding",4
"absolutely","perfect",12
"absolutely","ridiculous",13
"absolutely","right",25
"absolutely","thrilled",7
"absolutely","true",4
"absolutely","will",13
"abu","dhabi",10
"abundance","love",4
"abuse","child",3
"abuse","neglect",19
"abuse","power",3
"abuse","prevention",7
"abused","children",3
"abusive","relationship",5
"ac","dc",15
"ac","milan",10
"academic","excellence",9
"academic","freedom",3
"academic","research",3
"academic","world",3
"academic","year",19
"academy","award",27
"academy","awards",28
"academy","awardwinning",7
"academy","motion",5
"academy","music",3
"academy","sciences",15
"accept","credit",9
"accept","fact",17
"accept","idea",4
"accept","payment",3
"accept","responsibility",6
"accept","things",8
"acceptance","letter",8
"acceptance","speech",12
"accepted","offer",9
"accepted","will",5
"accepting","award",6
"accepting","new",6
"accepting","nominations",3
"accepts","responsibility",5
"access","account",3
"access","books",5
"access","control",3
"access","education",6
"access","everything",3
"access","full",4
"access","information",20
"access","next",3
"access","now",3
"access","point",6
"access","quality",4
"accessories","can",3
"accessories","make",6
"accident","something",3
"accident","will",5
"accidents","happen",5
"accomplish","anything",11
"accomplish","goals",7
"accomplish","much",6
"accomplish","something",12
"accomplished","much",5
"accomplished","time",3
"accomplishing","goals",3
"according","article",7
"according","census",12
"according","court",74
"according","daughter",3
"according","facebook",3
"according","florida",3
"according","guy",4
"according","market",5
"according","national",50
"according","new",46
"according","official",11
"according","one",16
"according","people",15
"according","pew",10
"according","plan",13
"according","police",66
"according","recent",37
"according","researchers",5
"according","rules",4
"according","sources",17
"according","state",47
"according","study",25
"according","us",39
"according","world",5
"account","balance",4
"account","can",18
"account","get",7
"account","holder",5
"account","just",8
"account","management",3
"account","name",7
"account","really",4
"account","said",5
"account","set",5
"account","settings",6
"account","use",8
"account","used",4
"account","will",23
"account","written",3
"accounts","one",5
"accounts","will",4
"accurate","description",4
"accurate","information",7
"accurately","reflect",6
"accused","beating",5
"accused","cheating",4
"accused","killing",16
"accused","murdering",6
"accustomed","new",3
"ace","frehley",6
"aches","pains",11
"achieve","desired",5
"achieve","goal",12
"achieve","goals",14
"achieve","success",8
"achieved","great",4
"achieving","goal",4
"achieving","goals",8
"achilles","heel",8
"achilles","tendon",15
"acid","reflux",5
"acorn","squash",6
"acoustic","guitar",15
"acoustic","music",5
"acquire","new",4
"acquired","taste",10
"acquisition","new",3
"across","america",19
"across","atlantic",7
"across","board",35
"across","border",27
"across","bridge",10
"across","campus",7
"across","church",3
"across","cities",4
"across","city",13
"across","continent",8
"across","country",225
"across","cultures",4
"across","face",19
"across","facebook",4
"across","field",8
"across","floor",7
"across","front",7
"across","globe",18
"across","half",6
"across","indiana",3
"across","kitchen",3
"across","many",14
"across","map",3
"across","metro",4
"across","middle",6
"across","mine",3
"across","much",8
"across","multiple",7
"across","nation",42
"across","new",11
"across","north",12
"across","ocean",6
"across","one",11
"across","pond",13
"across","river",26
"across","road",18
"across","room",35
"across","screen",5
"across","social",6
"across","south",5
"across","stage",15
"across","state",71
"across","street",156
"across","streets",3
"across","three",6
"across","town",18
"across","universe",3
"across","us",21
"across","valley",6
"across","way",5
"across","whole",5
"across","world",28
"act","accordingly",4
"act","also",7
"act","can",8
"act","even",3
"act","first",3
"act","like",203
"act","love",5
"act","make",4
"act","next",4
"act","now",14
"act","one",12
"act","quickly",6
"act","really",3
"act","requires",7
"act","right",9
"act","something",3
"act","three",6
"act","together",25
"act","upon",4
"act","way",11
"act","will",9
"acted","like",26
"acting","class",16
"acting","like",84
"acting","tip",5
"acting","way",3
"action","according",4
"action","begins",3
"action","can",7
"action","even",6
"action","figures",4
"action","film",7
"action","first",5
"action","flick",4
"action","going",6
"action","help",5
"action","hero",5
"action","heroes",4
"action","just",6
"action","may",9
"action","movie",15
"action","movies",4
"action","network",10
"action","now",8
"action","one",5
"action","others",3
"action","plan",16
"action","scene",3
"action","scenes",7
"action","will",18
"actions","become",4
"actions","can",5
"actions","take",3
"actions","will",5
"actions","words",5
"active","duty",12
"active","lifestyle",4
"active","member",7
"actively","engaged",4
"actively","looking",6
"actively","seeking",4
"actively","working",11
"activities","around",3
"activities","just",4
"activities","time",3
"activities","will",12
"activity","can",5
"activity","day",6
"activity","love",4
"activity","still",3
"activity","will",4
"actor","comedy",3
"actor","david",4
"actor","just",6
"actor","played",5
"actor","plays",3
"actor","producer",4
"actors","actresses",11
"actors","can",3
"actors","crew",3
"actors","like",10
"actors","playing",5
"actors","studio",6
"actors","will",6
"actress","model",5
"acts","like",44
"acts","way",3
"actual","age",3
"actual","amount",4
"actual","building",3
"actual","death",3
"actual","field",3
"actual","time",4
"actual","words",4
"actual","writing",5
"actually","allowed",4
"actually","also",3
"actually","back",4
"actually","bad",10
"actually","bed",3
"actually","believe",7
"actually","believes",3
"actually","better",10
"actually","buy",9
"actually","called",9
"actually","came",12
"actually","can",8
"actually","cared",3
"actually","caused",4
"actually","chance",4
"actually","discussed",3
"actually","done",10
"actually","enjoy",14
"actually","excited",4
"actually","favorite",6
"actually","feel",13
"actually","fell",5
"actually","first",5
"actually","following",3
"actually","found",8
"actually","fun",13
"actually","get",62
"actually","gets",3
"actually","getting",14
"actually","go",17
"actually","going",25
"actually","good",30
"actually","got",33
"actually","half",4
"actually","happen",6
"actually","happened",12
"actually","happening",9
"actually","happens",6
"actually","hard",3
"actually","hear",5
"actually","help",7
"actually","helped",4
"actually","helps",4
"actually","hit",4
"actually","hurt",7
"actually","interested",4
"actually","just",37
"actually","knew",6
"actually","know",31
"actually","la",3
"actually","last",3
"actually","left",4
"actually","let",5
"actually","like",50
"actually","liked",6
