"w1","w2","w3","rank"
"able","get","back",4
"able","get","rid",3
"able","go","back",8
"academy","award","nominee",3
"academy","award","winner",5
"accept","full","responsibility",3
"according","new","study",5
"according","us","census",7
"according","wall","street",6
"across","north","america",9
"across","parking","lot",5
"active","duty","military",4
"actually","feels","like",3
"actually","one","best",3
"actually","really","good",8
"add","insult","injury",4
"add","name","list",3
"affordable","care","act",23
"affordable","health","care",6
"affordable","senior","housing",3
"age","years","old",6
"agree","one","thing",5
"air","force","academy",6
"air","force","base",23
"air","force","one",10
"alice","tully","hall",3
"almost","every","day",22
"almost","every","minute",3
"almost","every","night",7
"almost","everyone","else",3
"almost","five","years",7
"almost","forgot","mention",3
"almost","two","years",15
"almost","upon","us",3
"almost","year","ago",6
"almost","year","since",6
"almost","years","ago",8
"almost","years","old",5
"along","east","coast",9
"already","got","one",3
"already","looking","forward",11
"already","thinking","next",3
"also","can","get",6
"also","can","help",5
"also","great","way",4
"also","just","signed",3
"also","like","see",4
"also","make","sure",10
"also","means","will",5
"also","really","looking",4
"also","saved","money",3
"also","wants","know",3
"alternative","energy","sources",4
"although","looks","like",4
"always","always","will",8
"always","feel","like",17
"always","felt","like",10
"always","good","hear",4
"always","good","idea",5
"always","good","thing",8
"always","good","time",10
"always","look","like",3
"always","looked","forward",3
"always","made","feel",3
"always","next","year",8
"always","nice","hear",3
"always","number","one",3
"always","one","favorite",6
"always","place","heart",3
"always","ready","help",3
"always","seems","like",5
"always","sunny","philadelphia",5
"always","wanted","go",11
"always","willing","help",3
"american","girl","doll",3
"american","heart","association",19
"american","horror","story",12
"american","journal","clinical",3
"amgen","tour","california",3
"angel","food","cake",4
"announced","days","ago",3
"annual","holiday","party",4
"another","example","just",3
"another","great","way",6
"another","six","months",4
"another","week","two",6
"answer","question","yes",3
"answer","right","now",5
"anxious","get","back",3
"anyone","can","get",4
"anyone","else","know",4
"anything","can","happen",8
"anything","can","make",7
"anything","can","think",5
"anything","else","will",6
"anything","put","mind",4
"anything","quite","like",3
"anything","right","now",9
"anywhere","else","world",5
"apple","cider","vinegar",11
"apple","sold","million",4
"approaching","finish","line",3
"april","fools","day",13
"april","fools","joke",10
"april","may","june",3
"april","new","york",6
"april","showers","bring",5
"arent","many","places",3
"arent","sure","will",4
"arguably","one","best",4
"around","corner","house",8
"around","globe","will",4
"around","long","enough",3
"around","right","now",4
"around","world","including",3
"art","history","class",3
"art","institute","chicago",5
"art","supply","store",4
"arthur","conan","doyle",5
"asian","pacific","american",3
"ask","can","help",9
"asked","last","week",3
"august","last","year",5
"aunts","uncles","cousins",3
"australia","new","zealand",13
"autism","awareness","day",6
"average","life","expectancy",3
"away","one","day",4
"away","years","ago",4
"awful","lot","like",4
"back","drawing","board",8
"back","early","s",8
"back","first","round",5
"back","high","school",22
"back","kansas","city",4
"back","new","york",20
"back","next","day",7
"back","next","month",4
"back","next","week",23
"back","next","year",12
"back","now","think",3
"back","old","self",4
"back","one","day",7
"back","one","week",3
"back","real","world",5
"back","regularly","scheduled",5
"back","right","now",4
"back","square","one",5
"back","st","louis",4
"back","th","century",4
"back","think","going",3
"back","week","will",3
"back","work","already",4
"bad","news","one",3
"bad","taste","mouth",3
"bad","thing","said",4
"bad","things","happen",15
"bad","will","happen",4
"baking","chocolate","chip",3
"bar","happy","hour",3
"bass","pro","shops",6
"battling","brain","cancer",4
"bean","ice","cream",3
